payment_id,invoice_id,payment_date,amount_paid
156,17180,2024-10-04,9.45
157,5786,2023-11-02,82.95
158,2822,2024-08-08,9.45
159,15473,2024-04-05,9.45
160,15294,2023-04-09,82.95
161,15204,2024-12-11,82.95
162,8989,2024-08-04,82.95
163,18824,2023-10-08,9.45
164,10308,2024-08-06,9.45
165,11980,2024-11-01,9.45
166,16614,2024-10-10,9.45
167,2903,,9.45
168,506,2023-10-02,82.95
169,17748,2023-10-02,9.45
170,17186,2024-08-07,9.45
171,159,2024-02-08,9.45
172,18260,2024-07-12,9.45
173,19053,2024-03-19,82.95
174,18995,2024-12-05,9.45
175,19268,2024-08-03,30.45
176,11720,2024-12-04,9.45
177,16959,2023-08-02,30.45
178,11827,2024-09-07,208.95
179,11860,2024-12-10,9.45
180,5171,2024-07-08,208.95
181,12887,2024-01-06,30.45
182,20111,2024-02-11,208.95
183,913824,2024-07-12,30.45
184,7581,2024-06-04,9.45
185,14436,2024-11-05,30.45
186,11957,2023-07-02,9.45
187,16593,2024-12-03,82.95
188,9007,2024-04-10,9.45
189,2646,2023-06-02,9.45
190,6182,2023-10-10,30.45
191,5668,2023-08-03,208.95
192,13892,2023-05-08,9.45
193,17780,2024-08-04,82.95
194,9441,2024-11-03,9.45
195,17771,2023-11-03,82.95
196,1292,2024-03-06,9.45
197,16648,2024-05-03,208.95
198,8923,2023-10-07,30.45
199,9949,2024-08-09,9.45
200,3393,2024-09-02,30.45
201,8153,2024-10-03,30.45
202,4621,2024-01-03,9.45
203,9887,2024-09-02,9.45
204,12500,2023-06-07,9.45
205,8977,2024-01-06,30.45
206,1306,2023-08-10,9.45
207,13296,2024-07-02,9.45
208,9265,2024-04-08,82.95
209,5706,2023-10-07,82.95
210,11592,2024-08-07,208.95
211,731,2024-07-04,208.95
212,15228,2024-03-10,82.95
213,18225,2024-11-10,30.45
214,5279,2024-06-03,9.45
215,16373,2023-12-06,208.95
216,17498,2024-04-09,30.45
217,15233,2024-08-11,82.95
218,18361,2024-05-09,9.45
219,7720,2024-03-11,9.45
220,7338,2024-01-08,30.45
221,17977,2023-08-08,30.45
222,15660,2023-07-02,30.45
223,15987,,9.45
224,14754,2023-09-03,30.45
225,13048,2023-12-06,9.45
226,11854,2024-06-07,9.45
227,11404,2024-12-11,30.45
228,4582,2023-08-08,9.45
229,894,2024-12-05,208.95
230,12853,2023-09-03,82.95
231,11086,2024-05-07,30.45
232,14851,2024-07-03,208.95
233,1358,2024-06-12,30.45
234,2312,2023-07-04,82.95
235,16299,2024-01-06,9.45
236,15799,2024-02-07,208.95
237,5339,,30.45
238,2742,2024-09-10,30.45
239,3867,2024-03-07,82.95
240,6769,2024-12-07,82.95
241,4961,2024-05-07,30.45
242,14535,2023-10-08,30.45
243,2763,2024-09-10,9.45
244,4612,2023-04-05,9.45
245,3933,2024-11-05,30.45
246,18985,2024-12-05,82.95
247,2723,2024-11-04,30.45
248,15433,2024-10-08,208.95
249,9822,2024-03-04,9.45
250,9286,2024-12-12,9.45
251,4960,2024-04-04,30.45
252,6558,2024-11-10,30.45
253,13719,2024-05-01,30.45
254,18963,2024-11-08,30.45
255,10418,2023-12-05,9.45
256,13648,2023-12-04,9.45
257,11841,2024-12-10,30.45
258,16775,2024-09-10,82.95
259,14312,2024-02-09,9.45
260,10954,2024-01-03,82.95
261,12691,2024-12-08,30.45
262,17637,2024-09-09,82.95
263,16446,2023-07-02,82.95
264,14041,2024-10-11,208.95
265,5109,2024-10-06,9.45
266,4721,2024-06-02,30.45
267,3924,2024-02-04,30.45
268,18534,2024-12-11,208.95
269,13168,2024-11-08,82.95
270,7316,2024-04-09,9.45
271,6685,2023-07-10,9.45
272,1351,2024-07-05,208.95
273,12293,2024-05-04,9.45
274,12001,2024-11-04,9.45
275,12747,2024-10-03,208.95
276,16741,2024-08-05,9.45
277,13041,2024-10-05,30.45
278,1410,2024-03-11,9.45
279,8613,2024-12-08,9.45
280,8608,2024-04-02,9.45
281,13083,2023-07-04,9.45
282,1905,2023-05-09,208.95
283,8315,2024-11-06,9.45
284,13808,2023-12-08,9.45
285,14883,2023-08-06,82.95
286,6299,2023-08-03,30.45
287,6264,2023-12-09,30.45
288,17518,2024-06-06,82.95
289,15382,2024-09-01,9.45
290,15607,2024-04-04,30.45
291,4674,2023-06-03,9.45
292,15365,2024-12-07,9.45
293,19325,2024-09-05,30.45
294,2920,2024-10-10,82.95
295,7788,2023-11-08,30.45
296,8265,2023-11-09,30.45
297,13011,2024-05-03,9.45
298,13661,2024-02-06,9.45
299,18676,2023-12-11,82.95
300,5380,2024-01-06,30.45
301,15860,2024-03-07,9.45
302,8030,2024-10-11,82.95
303,12711,2024-12-01,30.45
304,17016,2024-08-10,82.95
305,7799,2024-10-04,30.45
306,8187,2024-09-07,30.45
307,13066,2023-12-05,30.45
308,7483,2024-01-06,30.45
309,12871,2024-06-11,9.45
310,7725,2024-08-04,9.45
311,17049,2024-01-02,30.45
312,13407,2024-05-01,208.95
313,15417,2024-10-08,30.45
314,10463,2024-06-10,82.95
315,16745,2024-12-05,9.45
316,9325,2024-12-07,82.95
317,5333,2024-11-07,82.95
318,19614,2024-02-05,9.45
319,5818,2024-04-05,82.95
320,4188,2024-12-04,9.45
321,9805,2024-10-08,30.45
322,16494,2024-12-01,30.45
323,20115,2024-06-05,208.95
324,18505,2023-01-10,30.45
325,17031,2023-12-05,9.45
326,10748,2024-01-09,208.95
327,3982,2024-08-12,9.45
328,153,2023-08-04,9.45
329,10029,2024-01-06,9.45
330,8037,2024-08-09,9.45
331,6116,2023-08-07,82.95
332,5660,2024-11-03,30.45
333,5547,2024-08-10,9.45
334,10542,2024-12-08,82.95
335,17569,2024-05-06,30.45
336,8821,2024-07-02,82.95
337,5755,2024-06-11,30.45
338,13417,2024-10-13,82.95
339,3693,2024-08-11,9.45
340,11723,2023-09-07,9.45
341,1187,2024-01-02,9.45
342,9364,2024-09-11,82.95
343,15830,2023-12-02,9.45
344,3024,2023-10-08,30.45
345,20210,2024-08-12,9.45
346,18171,2024-03-06,9.45
347,7862,2024-05-06,9.45
348,17370,2024-04-12,30.45
349,6986,2024-08-04,82.95
350,3807,2023-12-04,82.95
351,10480,2024-08-04,9.45
352,449,2024-12-04,9.45
353,11056,2023-09-09,9.45
354,10573,2024-06-05,9.45
355,18877,2023-12-07,82.95
356,5102,2024-03-12,9.45
357,16979,2023-04-02,9.45
358,15793,2024-10-10,30.45
359,6054,2024-10-09,30.45
360,11351,2024-12-07,30.45
361,14063,2023-08-04,9.45
362,2005,2024-04-06,208.95
363,8662,2023-11-06,9.45
364,15786,2024-03-09,30.45
365,14420,2024-11-11,30.45
366,8386,2024-11-05,30.45
367,7657,2023-08-05,9.45
368,4822,2024-07-06,18.9
369,2793,2024-07-10,208.95
370,2854,2024-09-24,9.45
371,11933,2024-10-09,30.45
372,19353,2024-01-02,30.45
373,10201,2024-12-07,82.95
374,18802,2024-05-08,30.45
375,10051,2024-08-01,30.45
376,18110,2023-03-06,30.45
377,7243,2024-12-07,30.45
378,13213,2024-10-06,9.45
379,19270,2024-10-07,30.45
380,15097,2024-03-08,30.45
381,1822,2024-06-02,30.45
382,16513,2024-07-06,208.95
383,3999,2024-06-09,30.45
384,13144,2024-08-09,30.45
385,3046,2024-10-02,30.45
386,5256,2024-10-07,30.45
387,4905,2023-06-02,30.45
388,12870,2024-05-08,9.45
389,18537,2024-07-03,9.45
390,13696,2024-10-03,9.45
391,16015,2024-07-12,9.45
392,1438,2024-08-10,30.45
393,18223,2024-09-03,30.45
394,4557,2024-10-03,30.45
395,13388,2024-02-09,208.95
396,11068,2024-09-10,9.45
397,13512,2023-12-04,82.95
398,954,2023-11-08,9.45
399,3511,2024-03-07,9.45
400,13505,2023-05-08,82.95
401,919,2024-09-06,30.45
402,2789,2024-03-04,208.95
403,7882,2024-01-06,208.95
404,10137,2024-11-02,82.95
405,4535,2024-03-11,30.45
406,17787,2023-10-09,30.45
407,13251,2024-07-09,208.95
408,20510,2024-02-09,30.45
409,2336,2023-08-09,82.95
410,16579,2024-05-01,9.45
411,11604,2024-05-05,9.45
412,820,2024-01-12,30.45
413,11918,2024-12-09,82.95
414,3215,2024-01-01,9.45
415,10619,2024-05-03,30.45
416,16341,2024-12-09,82.95
417,11218,2023-12-08,30.45
418,3700,2023-04-09,30.45
419,11546,2023-12-04,9.45
420,18161,2024-06-10,30.45
421,10560,2023-11-09,82.95
422,1549,2024-09-06,9.45
423,10655,2024-03-03,30.45
424,17953,2023-07-01,30.45
425,13711,2023-09-05,30.45
426,9973,2024-09-02,9.45
427,4422,2024-12-09,30.45
428,15065,2024-10-01,30.45
429,17351,2023-06-05,30.45
430,14392,2024-05-08,208.95
431,3134,2023-04-08,82.95
432,7852,2023-07-07,9.45
433,14214,2024-11-07,9.45
434,19832,2024-09-02,208.95
435,9968,2024-04-08,9.45
436,17312,2023-09-09,9.45
437,11944,2024-08-06,9.45
438,12826,2024-11-10,82.95
439,18684,2024-08-09,82.95
440,9935,2024-09-01,82.95
441,6013,2024-01-03,9.45
442,4012,2024-03-09,208.95
443,710,2024-11-03,82.95
444,16930,2024-12-06,30.45
445,4246,2024-11-02,9.45
446,6304,2024-01-07,30.45
447,5859,2024-09-03,30.45
448,8325,2024-08-12,9.45
449,15484,2023-09-07,82.95
450,19359,2024-07-10,30.45
451,8591,2024-11-03,9.45
452,12879,2023-05-05,30.45
453,1714,2024-10-08,208.95
454,910498,2024-05-04,82.95
455,5611,2023-08-09,82.95
456,6538,2024-08-05,30.45
457,5884,2023-07-10,82.95
458,5607,2024-12-02,9.45
459,5516,2023-11-09,208.95
460,18268,2023-12-03,9.45
461,14847,2024-03-12,208.95
462,678,2024-02-02,9.45
463,9462,2023-07-05,9.45
464,13745,2024-10-10,30.45
465,1128,2024-02-09,30.45
466,4340,2023-09-05,9.45
467,19220,2024-06-01,82.95
468,13736,2024-01-04,30.45
469,6426,2024-01-09,82.95
470,15733,2024-05-09,82.95
471,4160,2024-07-10,30.45
472,17538,2023-07-07,30.45
473,16257,2024-05-11,208.95
474,18015,2024-10-08,82.95
475,988,2024-11-06,208.95
476,9063,2023-09-07,9.45
477,8474,2024-12-11,30.45
478,20004,2024-08-07,9.45
479,7073,2024-10-06,9.45
480,19096,2023-04-10,30.45
481,16334,2024-05-05,82.95
482,10095,2024-11-08,9.45
483,6027,2024-04-09,30.45
484,19514,2023-07-06,30.45
485,4654,2024-12-05,30.45
486,18201,,30.45
487,7521,2023-09-10,9.45
488,6185,2024-01-08,30.45
489,2459,2024-06-01,82.95
490,19943,2023-12-07,9.45
491,12464,2024-02-10,30.45
492,16474,2023-04-01,30.45
493,13819,2024-11-03,9.45
494,9048,2024-02-10,9.45
495,14400,2023-03-08,30.45
496,10533,2024-03-06,82.95
497,12045,2024-09-10,9.45
498,17609,2024-07-03,208.95
499,5606,2024-11-06,9.45
500,12168,2023-06-06,208.95
501,10508,2023-11-07,30.45
502,16895,2024-11-08,9.45
503,10913,2024-03-05,9.45
504,1183,2024-11-08,9.45
505,5033,2024-12-04,9.45
506,6757,2023-12-08,82.95
507,10348,2023-03-11,30.45
508,2856,2024-08-02,9.45
509,17207,2024-09-01,208.95
510,17288,2024-06-11,30.45
511,1900,2024-10-11,30.45
512,13135,2024-06-04,30.45
513,10925,2023-09-10,82.95
514,5925,2024-04-07,82.95
515,3111,2023-12-04,82.95
516,16184,2023-08-05,82.95
517,15756,2024-03-11,30.45
518,3929,2024-07-02,30.45
519,17906,2024-09-01,30.45
520,11848,2023-12-11,9.45
521,10679,2024-05-03,9.45
522,18704,2023-06-09,30.45
523,20419,2024-11-06,9.45
524,4680,2023-12-07,9.45
525,10361,2024-04-06,30.45
526,6605,2024-05-05,9.45
527,19768,2023-08-09,9.45
528,14574,2024-01-04,30.45
529,16983,2023-08-11,9.45
530,2836,2024-06-06,9.45
531,1760,2024-09-02,30.45
532,1793,2024-05-11,82.95
533,7831,2023-04-09,82.95
534,9123,2023-09-09,9.45
535,3245,2024-11-03,30.45
536,19934,2024-10-05,9.45
537,10236,2023-07-09,30.45
538,10178,2024-05-08,9.45
539,19846,2024-08-06,82.95
540,8023,2024-03-03,82.95
541,1322,2024-12-05,9.45
542,18569,2023-12-08,9.45
543,14410,2024-01-10,30.45
544,17916,2024-04-07,82.95
545,3446,2024-04-04,30.45
546,3,2024-01-01,30.45
547,17202,2024-02-05,30.45
548,18079,2024-08-07,30.45
549,6113,2023-05-11,82.95
550,5621,2024-06-05,82.95
551,19428,2024-06-04,30.45
552,6176,2023-04-08,30.45
553,613,2024-08-06,30.45
554,3743,2024-01-07,9.45
555,8856,2023-04-02,9.45
556,19711,2024-06-05,9.45
557,14447,2023-10-09,30.45
558,11996,2024-06-06,9.45
559,13925,2024-11-07,30.45
560,6714,2024-11-08,208.95
561,4144,2023-03-04,30.45
562,9925,2023-11-04,82.95
563,5061,2024-05-02,82.95
564,7141,2024-07-08,18.9
565,16117,2024-06-06,30.45
566,9249,2024-08-02,30.45
567,3416,2024-10-04,9.45
568,17548,2024-05-08,30.45
569,15121,2024-09-08,82.95
570,8206,2023-03-08,9.45
571,12471,2024-09-03,30.45
572,7899,2023-09-07,82.95
573,15043,2023-11-04,9.45
574,5391,2023-09-05,82.95
575,5268,2024-03-01,9.45
576,4723,2024-08-11,30.45
577,6753,2023-08-02,82.95
578,421,2024-02-09,9.45
579,2638,2024-06-03,9.45
580,1647,2024-08-04,9.45
581,2622,2024-08-05,9.45
582,12961,2024-03-05,30.45
583,6361,2024-09-08,30.45
584,16292,2024-10-09,9.45
585,661,2024-07-03,9.45
586,7055,2024-11-03,30.45
587,3795,2024-07-06,82.95
588,15422,2023-11-11,208.95
589,9577,2023-09-04,82.95
590,14848,2024-04-11,208.95
591,15934,2023-11-07,9.45
592,8212,2023-09-02,9.45
593,9072,2024-06-11,9.45
594,372,2024-06-07,30.45
595,19184,2023-08-07,82.95
596,11825,2024-07-08,208.95
597,1064,2024-04-08,30.45
598,11676,2023-08-03,30.45
599,7078,2024-10-12,30.45
600,11983,2023-05-03,9.45
601,20518,2024-05-02,9.45
602,12161,2024-11-01,30.45
603,5560,2023-12-03,208.95
604,18489,2023-09-07,9.45
605,19814,2024-03-02,30.45
606,10751,2024-04-08,208.95
607,9701,2024-02-06,82.95
608,2324,2024-07-08,82.95
609,9183,2024-06-11,30.45
610,15980,2023-09-05,9.45
611,18181,2024-08-04,30.45
612,15388,2024-01-05,9.45
613,9189,2024-12-06,30.45
614,5909,2024-05-08,30.45
615,14103,2024-12-09,9.45
616,8439,2024-01-04,30.45
617,6044,2023-12-08,30.45
618,19004,2023-12-02,9.45
619,9716,2024-05-08,9.45
620,3571,2023-07-06,9.45
621,11694,2024-08-04,9.45
622,15531,2023-03-12,9.45
623,6564,2023-06-11,30.45
624,391,2024-07-07,30.45
625,15820,2024-09-02,9.45
626,16582,2024-08-04,9.45
627,5457,2024-06-01,82.95
628,14021,2024-06-05,9.45
629,14184,2024-07-09,82.95
630,5445,2023-06-08,82.95
631,12300,2024-12-10,9.45
632,8771,2024-04-05,30.45
633,3748,2024-06-07,9.45
634,12296,2024-08-04,9.45
635,11439,,30.45
636,637,2023-12-10,9.45
637,8770,2024-03-04,30.45
638,20015,2023-08-08,9.45
639,1476,2023-08-03,82.95
640,946,2024-06-12,30.45
641,6461,2024-10-04,30.45
642,7940,2024-03-08,9.45
643,11083,2024-02-07,30.45
644,12676,2024-12-09,208.95
645,8706,2024-11-11,9.45
646,17848,2024-08-03,30.45
647,3123,2024-12-08,82.95
648,18862,2024-09-05,30.45
649,6989,2024-11-07,82.95
650,19564,2024-01-03,9.45
651,17185,2024-07-06,9.45
652,3338,2024-12-05,9.45
653,17751,2024-01-08,9.45
654,845,2024-01-06,30.45
655,11139,2024-12-08,30.45
656,10510,2024-01-11,30.45
657,9608,2024-08-12,82.95
658,410,2024-02-04,9.45
659,1851,2024-05-11,30.45
660,5822,,82.95
661,4066,2024-05-10,9.45
662,6202,2024-12-10,30.45
663,16841,2023-08-06,82.95
664,19029,2024-06-11,9.45
665,16832,2024-08-12,30.45
666,11320,2024-09-08,9.45
667,19778,2024-06-05,9.45
668,18081,2024-10-09,30.45
669,7929,2023-06-03,9.45
670,2786,2023-12-03,208.95
671,17194,2023-06-09,30.45
672,9667,2024-06-04,9.45
673,7126,2024-11-06,30.45
674,917508,2023-08-06,82.95
675,9018,2024-08-09,9.45
676,17623,2024-10-02,30.45
677,8407,2024-12-09,9.45
678,14632,2024-03-09,9.45
679,13861,2023-10-04,30.45
680,19704,2023-11-07,9.45
681,890,2024-08-02,208.95
682,8084,2023-05-05,208.95
683,8854,2023-02-03,9.45
684,9904,2024-12-02,9.45
685,12556,2023-11-09,82.95
686,10541,2024-11-08,82.95
687,8962,2024-09-03,9.45
688,13979,2024-03-11,9.45
689,10337,2024-04-05,9.45
690,10741,2023-06-10,208.95
691,11047,2024-11-04,208.95
692,9090,2023-04-07,9.45
693,6253,2024-07-05,82.95
694,10705,2024-10-08,9.45
695,11725,2023-11-08,9.45
696,10795,2024-11-03,82.95
697,8956,2024-03-06,9.45
698,10153,2023-11-12,82.95
699,11620,2024-07-07,208.95
700,5042,2023-09-03,82.95
701,4645,2024-03-07,30.45
702,10745,2023-10-04,208.95
703,11232,2024-01-10,82.95
704,1495,2024-09-04,9.45
705,887,2024-05-10,208.95
706,10870,2024-06-04,82.95
707,11362,2023-12-02,82.95
708,11193,2024-08-09,82.95
709,17974,2023-05-02,30.45
710,14150,2023-06-06,9.45
711,7260,2024-09-09,208.95
712,20303,2024-04-03,9.45
713,2224,2024-10-08,30.45
714,16917,2024-09-02,30.45
715,16889,2024-05-01,9.45
716,15364,2024-11-07,9.45
717,220,2024-06-02,82.95
718,226,2024-12-03,82.95
719,1312,2024-02-06,9.45
720,3600,2024-07-09,9.45
721,12038,2024-02-02,9.45
722,2059,2024-02-11,9.45
723,16399,2024-10-06,9.45
724,10334,2024-01-07,9.45
725,6141,2023-10-05,9.45
726,15358,2024-05-04,9.45
727,4780,2023-06-11,9.45
728,15602,2023-11-03,30.45
729,14874,2024-06-03,9.45
730,11390,2024-07-08,9.45
731,15691,2024-07-04,208.95
732,8103,2024-12-08,208.95
733,3103,2024-07-04,82.95
734,945,2024-05-05,30.45
735,16141,2024-01-08,208.95
736,18029,2023-08-05,82.95
737,20216,2024-03-07,9.45
738,18970,2023-09-06,82.95
739,7232,2024-03-01,30.45
740,4291,2024-12-02,9.45
741,10205,2024-07-05,9.45
742,2086,2024-04-09,82.95
743,3175,2024-05-01,9.45
744,14047,2024-02-02,9.45
745,962,2024-07-10,9.45
746,4590,2024-04-03,9.45
747,11882,2024-06-03,9.45
748,16350,2023-11-07,82.95
749,7502,2024-12-10,82.95
750,7631,2023-12-11,9.45
751,12538,2023-12-09,30.45
752,17224,2023-05-04,82.95
753,11000,2024-04-02,9.45
754,19085,2024-02-05,82.95
755,18779,2023-08-03,9.45
756,14180,2024-03-12,82.95
757,7915,2024-02-10,30.45
758,9130,2024-04-06,9.45
759,13616,2024-09-10,82.95
760,982,2024-05-11,208.95
761,1477,2023-09-10,82.95
762,18607,2024-12-10,9.45
763,12855,2023-11-07,82.95
764,18139,2024-11-09,30.45
765,1634,2023-07-06,9.45
766,19018,2024-08-09,30.45
767,5845,2024-11-11,9.45
768,11874,2024-08-05,30.45
769,8399,2024-04-02,9.45
770,7301,2024-10-03,9.45
771,17070,2024-01-08,9.45
772,1493,2024-07-04,9.45
773,10513,2024-04-10,30.45
774,5369,2024-09-04,82.95
775,15789,2024-06-06,30.45
776,15224,2024-10-09,9.45
777,5452,2024-01-02,82.95
778,2216,2024-02-06,30.45
779,8292,2024-04-10,82.95
780,3238,2024-04-10,30.45
781,9148,2024-12-04,82.95
782,17892,2024-09-08,82.95
783,1208,2023-09-10,30.45
784,13951,2023-11-07,9.45
785,8758,2024-11-03,9.45
786,10735,2023-06-09,9.45
787,18054,2023-09-06,9.45
788,11703,2023-07-04,9.45
789,20377,2024-06-12,9.45
790,14098,2024-07-07,9.45
791,5181,2024-06-02,9.45
792,15173,2024-10-03,208.95
793,14221,2024-01-11,30.45
794,5375,2023-08-10,30.45
795,16196,2024-08-11,82.95
796,6551,2024-04-10,30.45
797,4566,2023-12-01,82.95
798,4550,2024-03-10,30.45
799,19993,2024-02-08,30.45
800,11549,2024-03-04,9.45
801,18380,2024-01-09,30.45
802,13299,2024-10-07,9.45
803,18211,2024-09-08,30.45
804,9903,2024-11-02,9.45
805,13988,2024-12-01,9.45
806,5598,2024-03-07,9.45
807,10448,2023-03-03,82.95
808,944,2024-04-09,30.45
809,18480,2024-05-04,9.45
810,18404,2024-04-09,9.45
811,19232,2023-06-12,9.45
812,13782,2024-11-04,30.45
813,19552,2024-12-01,82.95
814,19610,2023-07-11,9.45
815,16703,2023-10-12,208.95
816,6612,2024-12-09,9.45
817,6082,2024-07-04,9.45
818,11930,2024-07-10,30.45
819,215,2024-12-03,208.95
820,5418,2023-12-10,9.45
821,3112,2024-01-04,82.95
822,10874,2024-10-12,82.95
823,16933,2024-04-02,82.95
824,11262,,9.45
825,19363,2024-11-02,30.45
826,19620,2024-05-07,9.45
827,17000,2023-04-02,82.95
828,11562,2023-09-09,9.45
829,115,2023-10-10,82.95
830,20367,2024-09-05,9.45
831,4589,2024-03-07,9.45
832,15077,2024-01-08,9.45
833,223,2024-09-09,82.95
834,1177,2024-05-02,9.45
835,6354,2024-11-09,9.45
836,19703,2023-10-02,9.45
837,8223,2024-08-06,9.45
838,3785,2023-10-05,82.95
839,6492,2023-11-03,82.95
840,7920,2024-07-03,60.9
841,10425,2024-07-11,9.45
842,4803,2024-09-04,9.45
843,17779,2024-07-03,82.95
844,6397,2024-03-05,82.95
845,18959,2024-07-10,30.45
846,11242,2024-11-05,82.95
847,13193,2023-08-02,82.95
848,15006,2024-02-02,9.45
849,18748,2024-01-08,30.45
850,17427,2023-07-11,9.45
851,13156,2023-11-11,82.95
852,8045,2024-01-05,9.45
853,16821,2024-07-12,165.9
854,19676,2024-10-04,9.45
855,18431,2024-02-03,9.45
856,10346,2023-01-08,30.45
857,8538,2024-09-05,30.45
858,3062,2024-09-08,9.45
859,922,2024-09-09,9.45
860,16092,2024-07-06,82.95
861,8586,2024-06-11,9.45
862,9087,2024-04-03,9.45
863,9220,2024-11-09,9.45
864,11994,2024-04-04,9.45
865,10788,2024-04-08,82.95
866,11158,2024-09-04,30.45
867,14888,2024-01-01,82.95
868,12365,2024-10-03,30.45
869,17023,2023-04-05,9.45
870,18212,2024-10-11,30.45
871,18599,2024-10-07,30.45
872,9343,2024-08-03,30.45
873,11663,2024-07-06,30.45
874,12562,,82.95
875,13426,2024-01-12,82.95
876,5520,2024-03-07,208.95
877,2184,2024-10-09,9.45
878,15351,2024-07-12,30.45
