subscription_id,customer_id,plan_id,start_date,end_date
109,109,1,2024-01-01,2024-09-01
110,110,2,2023-11-01,
111,111,3,2024-06-01,
112,112,3,2023-05-01,
113,113,1,2024-07-01,
114,114,4,2024-06-01,
115,115,1,2023-09-01,
116,116,3,2024-05-01,
117,117,3,2024-01-01,2024-05-01
118,118,1,2023-07-01,
119,119,2,2024-06-01,
120,120,3,2023-01-01,
121,121,1,2023-03-01,2023-07-01
122,122,2,2024-06-01,
123,123,3,2024-04-01,
124,124,2,2023-06-01,
125,125,3,2024-08-01,
126,126,1,2024-02-01,2024-04-01
127,127,1,2023-05-01,2024-05-01
128,128,1,2024-06-01,
129,129,1,2024-08-01,
130,130,1,2024-04-01,
131,131,4,2024-01-01,
132,132,2,2024-06-01,
133,133,1,2024-05-01,
134,134,1,2023-10-01,
135,135,4,2024-04-01,
136,136,2,2024-05-01,
137,137,4,2023-01-01,
138,138,2,2023-10-01,
139,139,2,2024-07-01,
140,140,3,2023-06-01,
141,141,3,2024-01-01,
142,142,2,2023-10-01,
143,143,2,2023-12-01,
144,144,3,2023-07-01,
145,145,2,2024-01-01,
146,146,4,2024-04-01,
147,147,1,2024-03-01,2024-10-01
148,148,2,2024-05-01,
149,149,2,2023-06-01,
150,150,4,2023-03-01,
151,151,1,2023-11-01,
152,152,3,2023-04-01,
153,153,2,2024-01-01,
154,154,2,2023-08-01,
155,155,2,2024-03-01,
156,156,4,2023-10-01,
157,157,1,2023-12-01,
158,158,1,2024-08-01,
159,159,1,2024-01-01,
160,160,1,2024-07-01,
161,161,1,2023-05-01,
162,162,3,2024-08-01,
163,163,3,2023-05-01,
164,164,1,2024-03-01,
165,165,2,2023-01-01,
166,166,2,2024-02-01,
167,167,2,2024-06-01,
168,168,2,2023-06-01,
169,169,1,2023-04-01,
170,170,4,2023-08-01,
171,171,2,2023-02-01,
172,172,2,2023-01-01,
173,173,2,2023-09-01,
174,174,1,2024-05-01,
175,175,1,2023-09-01,
176,176,2,2023-06-01,
177,177,3,2023-05-01,
178,178,3,2023-02-01,
179,179,3,2023-08-01,
180,180,1,2023-07-01,
181,181,3,2023-09-01,2024-09-01
182,182,3,2023-07-01,
183,183,3,2023-12-01,
184,184,2,2024-03-01,
185,185,3,2023-01-01,
186,186,1,2023-01-01,2023-10-01
187,187,1,2023-06-01,
188,188,1,2023-05-01,
189,189,1,2023-02-01,
190,190,1,2024-06-01,
191,191,1,2023-02-01,
192,192,2,2024-06-01,2024-12-01
193,193,1,2023-02-01,
194,194,2,2024-01-01,
195,195,1,2023-08-01,
196,196,2,2023-12-01,2024-03-01
197,197,1,2023-11-01,
198,198,1,2023-05-01,
199,199,4,2023-03-01,
200,200,2,2024-06-01,
201,201,3,2024-03-01,
202,202,2,2024-04-01,
203,203,2,2024-01-01,
204,204,1,2023-11-01,
205,205,2,2024-06-01,
206,206,1,2023-04-01,
207,207,3,2024-01-01,
208,208,4,2023-05-01,
209,209,3,2024-02-01,
210,210,1,2023-08-01,
211,211,1,2023-09-01,
212,212,1,2023-07-01,2024-08-01
213,213,1,2023-12-01,
214,214,2,2023-02-01,
215,215,3,2024-04-01,
216,216,1,2023-09-01,
217,217,3,2024-08-01,
218,218,3,2023-09-01,2024-06-01
219,219,1,2023-03-01,
220,220,3,2023-06-01,
221,221,3,2023-10-01,
222,222,1,2023-08-01,2024-08-01
223,223,2,2023-06-01,
224,224,2,2023-07-01,
225,225,2,2024-03-01,
226,226,1,2023-08-01,
227,227,2,2023-04-01,
228,228,2,2024-01-01,
229,229,3,2024-03-01,
230,230,3,2023-10-01,
231,231,1,2024-03-01,
232,232,3,2023-04-01,
233,233,3,2023-03-01,2023-12-01
234,234,3,2024-04-01,
235,235,1,2024-04-01,
236,236,1,2023-11-01,
237,237,2,2023-10-01,
238,238,1,2023-10-01,
239,239,2,2023-05-01,
240,240,4,2024-03-01,
241,241,1,2023-08-01,
242,242,1,2024-04-01,
243,243,2,2023-09-01,
244,244,2,2024-05-01,
245,245,1,2024-05-01,
246,246,1,2024-05-01,2024-09-01
247,247,1,2023-06-01,
248,248,2,2024-02-01,
249,249,3,2024-04-01,
250,250,1,2024-03-01,
251,251,1,2024-06-01,
252,252,2,2023-04-01,
253,253,1,2024-02-01,
254,254,1,2024-02-01,
255,255,1,2023-08-01,
256,256,2,2023-06-01,
257,257,1,2023-12-01,
258,258,3,2023-06-01,
259,259,2,2023-12-01,2024-11-01
260,260,1,2023-03-01,
261,261,1,2023-08-01,
262,262,3,2023-08-01,
263,263,1,2024-03-01,
264,264,1,2023-01-01,
265,265,1,2023-08-01,
266,266,1,2024-02-01,
267,267,3,2023-10-01,
268,268,1,2024-03-01,
269,269,1,2024-06-01,
270,270,3,2024-04-01,
271,271,2,2023-07-01,
272,272,1,2023-03-01,
273,273,2,2023-02-01,
274,274,3,2024-01-01,
275,275,1,2023-03-01,
276,276,2,2024-05-01,
277,277,1,2023-12-01,
278,278,3,2023-01-01,2024-04-01
279,279,3,2024-04-01,2024-10-01
280,280,3,2023-04-01,
281,281,2,2024-08-01,
282,282,1,2023-06-01,
283,283,1,2023-12-01,
284,284,2,2023-10-01,2023-12-01
285,285,3,2023-08-01,
286,286,1,2023-04-01,
287,287,1,2023-02-01,
288,288,2,2023-11-01,
289,289,3,2024-08-01,
290,290,3,2023-07-01,
291,291,1,2023-07-01,
292,292,1,2024-02-01,
293,293,3,2024-08-01,
294,294,2,2023-11-01,
295,295,3,2024-08-01,
296,296,4,2024-02-01,
297,297,4,2024-04-01,
298,298,3,2023-05-01,
299,299,3,2023-12-01,
300,300,1,2024-03-01,
301,301,2,2023-08-01,
302,302,1,2024-03-01,
303,303,3,2023-08-01,
304,304,3,2024-03-01,
305,305,3,2023-10-01,
306,306,2,2023-02-01,
307,307,1,2023-02-01,
308,308,2,2024-07-01,
309,309,1,2024-01-01,
310,310,3,2023-12-01,
311,311,2,2024-04-01,
312,312,1,2023-06-01,
313,313,2,2023-08-01,
314,314,3,2023-09-01,
315,315,1,2024-02-01,
316,316,3,2023-11-01,
317,317,3,2023-06-01,
318,318,1,2023-11-01,
319,319,1,2023-08-01,
320,320,3,2023-05-01,
321,321,4,2023-04-01,2024-05-01
322,322,1,2023-06-01,
323,323,2,2023-11-01,
324,324,3,2023-08-01,
325,325,4,2023-09-01,
326,326,1,2024-04-01,
327,327,1,2024-02-01,
328,328,4,2023-09-01,
329,329,1,2023-12-01,
330,330,1,2023-01-01,
331,331,2,2023-09-01,
332,332,2,2023-10-01,
333,333,3,2023-06-01,
334,334,1,2023-05-01,
335,335,3,2024-03-01,
336,336,1,2023-01-01,
337,337,3,2024-08-01,
338,338,1,2024-08-01,
339,339,2,2024-01-01,
340,340,1,2023-06-01,
341,341,1,2023-06-01,
342,342,1,2023-11-01,2024-05-01
343,343,2,2024-02-01,
344,344,2,2023-08-01,
345,345,1,2023-09-01,
346,346,4,2023-02-01,
347,347,3,2024-06-01,
348,348,3,2024-07-01,
349,349,1,2023-06-01,2024-06-01
350,350,1,2024-07-01,
351,351,1,2024-05-01,
352,352,1,2023-04-01,
353,353,1,2023-04-01,
354,354,2,2023-09-01,
355,355,1,2024-02-01,
356,356,1,2023-08-01,
357,357,3,2024-03-01,
358,358,2,2023-04-01,
359,359,1,2024-07-01,
360,360,2,2024-02-01,
361,361,1,2023-06-01,
362,362,2,2024-04-01,
363,363,1,2023-09-01,
364,364,2,2024-04-01,
365,365,2,2024-03-01,2024-09-01
366,366,2,2024-02-01,
367,367,1,2023-03-01,
368,368,3,2023-01-01,
369,369,3,2024-02-01,
370,370,1,2023-05-01,
371,371,1,2023-02-01,
372,372,1,2023-11-01,
373,373,4,2024-07-01,
374,374,4,2024-03-01,
375,375,1,2023-07-01,
376,376,4,2023-08-01,
377,377,1,2024-02-01,
378,378,2,2023-09-01,2024-02-01
379,379,2,2023-12-01,2024-06-01
380,380,3,2024-05-01,2024-08-01
381,381,1,2023-02-01,
382,382,1,2023-01-01,
383,383,2,2024-06-01,
384,384,1,2023-06-01,
385,385,1,2024-05-01,
386,386,2,2023-06-01,2024-03-01
387,387,3,2024-05-01,
388,388,3,2024-08-01,
389,389,3,2024-07-01,
390,390,3,2023-05-01,
391,391,2,2023-11-01,
392,392,3,2023-01-01,
393,393,2,2023-06-01,2024-11-01
394,394,3,2023-09-01,
395,395,1,2023-01-01,
396,396,1,2024-01-01,
397,397,3,2023-04-01,
398,398,1,2023-04-01,
399,399,3,2024-02-01,
400,400,2,2024-05-01,
401,401,1,2024-08-01,
402,402,4,2023-04-01,
403,403,1,2024-04-01,2024-07-01
404,404,2,2024-03-01,
405,405,1,2024-05-01,
406,406,4,2023-04-01,
407,407,2,2023-10-01,
408,408,3,2024-06-01,
409,409,1,2023-12-01,
410,410,3,2023-05-01,
411,411,2,2023-01-01,
412,412,2,2024-03-01,2024-12-01
413,413,4,2023-02-01,2023-10-01
414,414,2,2024-05-01,
415,415,2,2024-02-01,
416,416,2,2023-06-01,2024-04-01
417,417,3,2023-05-01,
418,418,1,2023-02-01,
419,419,2,2023-07-01,
420,420,1,2023-12-01,2024-04-01
421,421,2,2023-07-01,
422,422,3,2023-10-01,
423,423,1,2024-01-01,
424,424,3,2023-10-01,
425,425,1,2023-05-01,
426,426,4,2024-04-01,
427,427,2,2024-03-01,
428,428,2,2023-10-01,
429,429,3,2023-04-01,
430,430,2,2023-10-01,
431,431,3,2023-08-01,
432,432,1,2023-10-01,
433,433,2,2023-03-01,
434,434,2,2023-10-01,
435,435,4,2023-02-01,
436,436,1,2023-09-01,
437,437,2,2024-02-01,
438,438,2,2023-04-01,
439,439,2,2023-03-01,2024-02-01
440,440,1,2023-06-01,
441,441,2,2024-07-01,2024-11-01
442,442,1,2023-06-01,2024-07-01
443,443,1,2024-07-01,
444,444,3,2023-05-01,
445,445,1,2023-02-01,
446,446,2,2024-04-01,
447,447,3,2023-03-01,2023-12-01
448,448,2,2023-03-01,2024-04-01
449,449,2,2023-11-01,
450,450,3,2023-05-01,
451,451,2,2024-01-01,
452,452,2,2023-11-01,
453,453,3,2024-03-01,
454,454,2,2023-07-01,
455,455,2,2023-06-01,
456,456,2,2023-05-01,2024-04-01
457,457,2,2024-03-01,
458,458,1,2023-08-01,
459,459,3,2024-06-01,
460,460,1,2023-11-01,
461,461,2,2024-04-01,
462,462,3,2024-02-01,
463,463,2,2024-02-01,
464,464,1,2024-08-01,
465,465,3,2023-10-01,
466,466,1,2024-06-01,
467,467,3,2024-05-01,
468,468,3,2023-09-01,
469,469,2,2024-02-01,
470,470,2,2023-10-01,
471,471,1,2024-02-01,
472,472,1,2023-09-01,
473,473,3,2023-10-01,
474,474,2,2023-05-01,
475,475,2,2024-01-01,
476,476,2,2024-08-01,
477,477,2,2023-08-01,
478,478,2,2023-02-01,2024-01-01
479,479,2,2024-03-01,
480,480,1,2023-05-01,
481,481,1,2024-02-01,
482,482,1,2024-02-01,
483,483,2,2024-07-01,
484,484,4,2023-12-01,
485,485,1,2023-03-01,
486,486,2,2023-06-01,
487,487,1,2023-06-01,
488,488,2,2024-07-01,
489,489,4,2024-06-01,
490,490,3,2023-09-01,
491,491,1,2024-06-01,
492,492,1,2023-12-01,
493,493,3,2023-07-01,
494,494,2,2023-02-01,
495,495,2,2024-07-01,
496,496,1,2024-06-01,
497,497,3,2024-03-01,
498,498,1,2023-03-01,2023-09-01
499,499,2,2023-12-01,2024-02-01
500,500,1,2023-08-01,2024-10-01
501,501,2,2024-02-01,
502,502,3,2024-06-01,
503,503,3,2023-11-01,
504,504,2,2024-07-01,
505,505,3,2023-04-01,
506,506,2,2024-07-01,
507,507,1,2024-06-01,
508,508,2,2024-05-01,
509,509,1,2024-08-01,
510,510,1,2023-05-01,
511,511,2,2023-04-01,
512,512,3,2023-01-01,
513,513,1,2024-04-01,
514,514,3,2023-10-01,
515,515,3,2023-06-01,
516,516,2,2023-02-01,
517,517,1,2023-06-01,
518,518,2,2024-08-01,
519,519,1,2023-02-01,
520,520,2,2023-01-01,
521,521,1,2023-06-01,
522,522,2,2023-07-01,
523,523,1,2023-04-01,
524,524,2,2023-05-01,
525,525,2,2023-11-01,
526,526,2,2023-01-01,
527,527,1,2024-08-01,
528,528,4,2023-10-01,
529,529,1,2023-08-01,
530,530,1,2023-02-01,
531,531,1,2023-04-01,
532,532,1,2024-06-01,
533,533,2,2023-07-01,
534,534,3,2024-02-01,
535,535,2,2023-04-01,
536,536,1,2023-08-01,
537,537,1,2023-07-01,
538,538,1,2024-05-01,
539,539,3,2023-08-01,
540,540,2,2024-04-01,
541,541,4,2024-07-01,
542,542,2,2023-07-01,
543,543,2,2023-05-01,
544,544,3,2024-05-01,
545,545,3,2024-07-01,
546,546,1,2024-07-01,
547,547,1,2023-03-01,
548,548,2,2024-01-01,
549,549,2,2023-03-01,
550,550,1,2023-08-01,
551,551,2,2023-09-01,
552,552,2,2024-07-01,
553,553,1,2024-03-01,
554,554,1,2024-07-01,2024-09-01
555,555,1,2024-05-01,2024-07-01
556,556,1,2023-07-01,
557,557,4,2024-06-01,
558,558,1,2023-02-01,2024-07-01
559,559,1,2023-05-01,
560,560,1,2024-06-01,
561,561,2,2023-02-01,
562,562,1,2024-02-01,
563,563,2,2024-06-01,
564,564,1,2023-05-01,
565,565,1,2024-02-01,2024-05-01
566,566,3,2023-12-01,
567,567,1,2024-03-01,
568,568,2,2023-07-01,
569,569,2,2023-03-01,
570,570,2,2024-07-01,
571,571,3,2023-03-01,
572,572,1,2023-07-01,
573,573,4,2023-01-01,
574,574,3,2023-04-01,
575,575,2,2024-02-01,
576,576,1,2023-01-01,
577,577,2,2023-05-01,
578,578,2,2023-07-01,
579,579,3,2023-07-01,2024-01-01
580,580,1,2024-08-01,
581,581,4,2023-04-01,2024-04-01
582,582,3,2023-05-01,
583,583,1,2024-04-01,
584,584,1,2023-10-01,
585,585,1,2023-10-01,
586,586,3,2024-08-01,
587,587,3,2023-05-01,2023-07-01
588,588,4,2023-01-01,
589,589,2,2024-06-01,
590,590,2,2023-06-01,
591,591,2,2023-07-01,
592,592,2,2024-05-01,
593,593,4,2024-01-01,
594,594,2,2023-02-01,
595,595,1,2024-06-01,
596,596,2,2024-07-01,
597,597,1,2023-01-01,
598,598,3,2024-05-01,
599,599,2,2023-04-01,
600,600,2,2023-03-01,
601,601,3,2024-04-01,
602,602,3,2023-12-01,
603,603,1,2023-09-01,
604,604,1,2023-12-01,
605,605,1,2023-05-01,
606,606,1,2024-02-01,2024-04-01
607,607,1,2023-08-01,
608,608,2,2023-07-01,
609,609,4,2023-12-01,2024-02-01
610,610,1,2023-08-01,
611,611,3,2023-02-01,
612,612,2,2023-05-01,
613,613,3,2024-08-01,
614,614,2,2023-06-01,
615,615,1,2023-08-01,
616,616,3,2023-04-01,
617,617,1,2023-02-01,2023-04-01
618,618,1,2024-07-01,
619,619,3,2023-12-01,
620,620,2,2024-06-01,
621,621,1,2024-05-01,
622,622,1,2023-08-01,
623,623,4,2023-10-01,
624,624,1,2024-02-01,
625,625,2,2024-04-01,
626,626,1,2023-10-01,
627,627,3,2023-01-01,2023-04-01
628,628,1,2023-06-01,
629,629,2,2023-07-01,
630,630,1,2023-07-01,
631,631,2,2023-12-01,2024-04-01
632,632,3,2024-08-01,
633,633,1,2023-03-01,
634,634,1,2023-07-01,
635,635,3,2023-06-01,
636,636,2,2023-12-01,2024-06-01
637,637,1,2024-05-01,
638,638,2,2024-07-01,
639,639,2,2023-11-01,
640,640,3,2023-06-01,
641,641,1,2023-05-01,
642,642,3,2024-05-01,
643,643,2,2023-01-01,2023-05-01
644,644,3,2023-03-01,
645,645,1,2023-02-01,
646,646,3,2024-03-01,
647,647,2,2024-06-01,
648,648,1,2024-05-01,
649,649,1,2023-06-01,2023-09-01
650,650,4,2024-05-01,
651,651,2,2023-01-01,
652,652,1,2024-08-01,
653,653,3,2023-12-01,
654,654,1,2024-03-01,
655,655,2,2023-02-01,
656,656,3,2024-08-01,
657,657,2,2023-08-01,2023-10-01
658,658,1,2023-06-01,
659,659,1,2024-06-01,
660,660,1,2023-11-01,
661,661,1,2023-03-01,
662,662,1,2023-05-01,
663,663,1,2023-08-01,2024-04-01
664,664,1,2023-02-01,
665,665,2,2023-11-01,2024-10-01
666,666,1,2023-09-01,2024-10-01
667,667,3,2024-01-01,
668,668,4,2024-03-01,
669,669,1,2023-03-01,
670,670,2,2024-04-01,
671,671,2,2024-05-01,
672,672,1,2023-01-01,
673,673,1,2024-04-01,
674,674,3,2024-07-01,
675,675,2,2023-08-01,
676,676,3,2023-05-01,
677,677,1,2023-12-01,
678,678,2,2023-06-01,
679,679,3,2023-05-01,
680,680,3,2024-05-01,
681,681,1,2024-01-01,2024-07-01
682,682,2,2024-06-01,
683,683,1,2024-03-01,
684,684,3,2024-03-01,
685,685,1,2024-04-01,2024-10-01
686,686,1,2023-07-01,
687,687,3,2023-03-01,2024-02-01
688,688,2,2023-10-01,
689,689,2,2024-08-01,
690,690,4,2024-05-01,
691,691,1,2024-03-01,
692,692,1,2023-08-01,
693,693,1,2023-05-01,2023-12-01
694,694,1,2024-05-01,
695,695,1,2023-09-01,
696,696,2,2024-04-01,
697,697,4,2023-05-01,
698,698,2,2023-10-01,
699,699,2,2024-04-01,
700,700,1,2024-06-01,
701,701,2,2023-01-01,
702,702,3,2023-08-01,2024-03-01
703,703,2,2023-06-01,
704,704,3,2024-03-01,
705,705,2,2024-04-01,
706,706,1,2024-01-01,
707,707,2,2024-03-01,
708,708,2,2023-07-01,2024-01-01
709,709,1,2023-02-01,
710,710,2,2023-11-01,
711,711,3,2023-01-01,
712,712,1,2024-01-01,
713,713,2,2024-01-01,
714,714,3,2023-11-01,
715,715,2,2024-05-01,
716,716,1,2023-03-01,2023-07-01
717,717,1,2023-09-01,
718,718,2,2024-08-01,
719,719,2,2023-06-01,
720,720,2,2024-08-01,
721,721,1,2023-01-01,
722,722,3,2023-01-01,
723,723,4,2023-05-01,2024-09-01
724,724,1,2024-07-01,
725,725,1,2024-01-01,
726,726,1,2023-11-01,
727,727,3,2023-03-01,2024-02-01
728,728,3,2023-03-01,
729,729,1,2024-06-01,
730,730,1,2024-05-01,
731,731,1,2023-02-01,
732,732,2,2023-09-01,
733,733,4,2023-11-01,
734,734,1,2024-03-01,
735,735,1,2023-01-01,2024-05-01
736,736,2,2024-05-01,
737,737,2,2023-11-01,
738,738,3,2023-11-01,
739,739,2,2023-08-01,
740,740,1,2023-01-01,2023-04-01
741,741,1,2024-07-01,
742,742,4,2024-05-01,
743,743,3,2024-05-01,
744,744,1,2024-02-01,
745,745,3,2023-10-01,
746,746,1,2024-07-01,2024-12-01
747,747,3,2023-03-01,
748,748,1,2023-06-01,
749,749,3,2023-09-01,
750,750,1,2024-04-01,
751,751,2,2023-07-01,
752,752,2,2024-06-01,
753,753,2,2023-07-01,
754,754,1,2023-08-01,
755,755,1,2023-07-01,
756,756,1,2023-09-01,
757,757,1,2024-05-01,
758,758,1,2023-07-01,
759,759,1,2023-10-01,
760,760,2,2023-01-01,
761,761,1,2023-12-01,
762,762,2,2023-05-01,
763,763,1,2023-10-01,2024-07-01
764,764,1,2023-07-01,
765,765,1,2023-08-01,
766,766,3,2023-03-01,
767,767,1,2023-10-01,
768,768,2,2024-04-01,
769,769,3,2024-01-01,
770,770,2,2023-09-01,
771,771,3,2024-05-01,
772,772,3,2023-12-01,
773,773,1,2024-01-01,
774,774,3,2023-06-01,2024-07-01
775,775,1,2024-02-01,
776,776,1,2023-08-01,
777,777,2,2023-04-01,
778,778,2,2024-04-01,
779,779,4,2023-12-01,
780,780,1,2023-10-01,
781,781,2,2024-03-01,
782,782,2,2023-12-01,
783,783,1,2024-04-01,
784,784,4,2023-09-01,2023-11-01
785,785,2,2024-08-01,
786,786,1,2023-12-01,
787,787,3,2023-10-01,
788,788,1,2024-06-01,
789,789,1,2024-08-01,
790,790,1,2023-06-01,2023-10-01
791,791,4,2023-05-01,
792,792,1,2023-11-01,
793,793,3,2023-02-01,
794,794,2,2024-02-01,
795,795,1,2024-02-01,
796,796,2,2023-02-01,2024-02-01
797,797,2,2023-06-01,
798,798,2,2024-08-01,
799,799,3,2023-04-01,
800,800,2,2023-10-01,
801,801,4,2024-02-01,
802,802,1,2023-05-01,
803,803,3,2023-07-01,
804,804,2,2024-04-01,
805,805,3,2023-09-01,
806,806,3,2024-05-01,
807,807,4,2023-02-01,
808,808,1,2024-01-01,
809,809,2,2023-07-01,
810,810,4,2024-07-01,
811,811,4,2023-09-01,
812,812,1,2023-02-01,
813,813,4,2024-05-01,
814,814,2,2023-11-01,
815,815,1,2023-02-01,
816,816,3,2024-03-01,
817,817,2,2023-12-01,2024-06-01
818,818,2,2024-07-01,
819,819,1,2024-03-01,
820,820,2,2024-01-01,
821,821,1,2023-05-01,2023-07-01
822,822,1,2024-01-01,
823,823,3,2023-04-01,
824,824,2,2023-08-01,
825,825,2,2023-09-01,
826,826,3,2023-12-01,
827,827,1,2023-05-01,
828,828,1,2023-12-01,2024-04-01
829,829,1,2023-07-01,
830,830,1,2024-07-01,2024-10-01
831,831,3,2024-08-01,
832,832,1,2024-05-01,
833,833,1,2023-05-01,
834,834,2,2024-03-01,
835,835,1,2024-08-01,
836,836,1,2024-07-01,
837,837,2,2024-06-01,
838,838,3,2023-02-01,
839,839,1,2023-04-01,
840,840,2,2024-04-01,
841,841,1,2023-07-01,
842,842,2,2023-10-01,
843,843,2,2023-10-01,
844,844,1,2024-04-01,
845,845,1,2024-03-01,
846,846,2,2023-06-01,
847,847,2,2024-04-01,
848,848,1,2023-10-01,2024-05-01
849,849,2,2023-12-01,
850,850,1,2024-05-01,
851,851,4,2023-06-01,2023-11-01
852,852,1,2023-01-01,2024-04-01
853,853,1,2024-02-01,2024-09-01
854,854,1,2023-06-01,
855,855,4,2023-06-01,
856,856,1,2023-10-01,
857,857,2,2024-06-01,
858,858,4,2024-06-01,
859,859,4,2024-03-01,
860,860,1,2023-06-01,
861,861,2,2024-07-01,
862,862,2,2024-05-01,
863,863,2,2023-01-01,2023-10-01
864,864,1,2023-05-01,
865,865,1,2023-03-01,
866,866,1,2023-07-01,
867,867,1,2024-02-01,
868,868,2,2023-12-01,
869,869,1,2023-03-01,2024-02-01
870,870,1,2024-02-01,
871,871,1,2023-12-01,
872,872,1,2024-06-01,
873,873,1,2023-07-01,
874,874,4,2024-06-01,
875,875,2,2024-02-01,
876,876,1,2023-06-01,
877,877,2,2023-07-01,
878,878,1,2024-03-01,
879,879,1,2024-02-01,
880,880,4,2024-01-01,2024-03-01
881,881,3,2023-09-01,
882,882,2,2023-08-01,
883,883,1,2023-12-01,
884,884,1,2024-04-01,2024-10-01
885,885,1,2023-06-01,
886,886,1,2024-06-01,
887,887,1,2023-04-01,
888,888,1,2023-10-01,2024-07-01
889,889,2,2023-07-01,2024-01-01
890,890,1,2024-07-01,
891,891,1,2023-04-01,2023-06-01
892,892,3,2023-03-01,2023-11-01
893,893,1,2024-02-01,
894,894,1,2023-04-01,
895,895,1,2024-08-01,
896,896,3,2024-04-01,
897,897,2,2024-06-01,
898,898,2,2023-07-01,
899,899,2,2024-03-01,
900,900,1,2023-12-01,
901,901,1,2023-09-01,
902,902,2,2023-10-01,
903,903,4,2023-01-01,
904,904,3,2023-03-01,
905,905,2,2023-03-01,
906,906,2,2024-04-01,
907,907,1,2023-06-01,
908,908,3,2024-03-01,
909,909,1,2024-03-01,
910,910,1,2023-03-01,
911,911,2,2023-07-01,
912,912,3,2023-06-01,
913,913,3,2023-03-01,
914,914,2,2024-05-01,
915,915,1,2023-08-01,
916,916,1,2024-07-01,
917,917,3,2024-05-01,
918,918,4,2024-06-01,
919,919,1,2024-03-01,
920,920,3,2023-11-01,
921,921,2,2023-09-01,
922,922,1,2023-08-01,
923,923,2,2024-01-01,
924,924,1,2023-09-01,
925,925,2,2024-06-01,
926,926,1,2023-04-01,
927,927,2,2023-08-01,
928,928,2,2023-10-01,
929,929,3,2023-06-01,2024-01-01
930,930,3,2023-05-01,
931,931,1,2023-12-01,
932,932,1,2023-04-01,
933,933,4,2024-04-01,
934,934,2,2023-08-01,
935,935,1,2024-04-01,2024-09-01
936,936,1,2023-02-01,
937,937,4,2024-04-01,
938,938,2,2023-10-01,
939,939,1,2024-06-01,
940,940,2,2024-02-01,2024-06-01
941,941,2,2024-05-01,
942,942,2,2024-02-01,
943,943,4,2023-03-01,
944,944,4,2024-08-01,
945,945,1,2023-08-01,
946,946,1,2024-06-01,
