invoice_id,invoice_number,customer_id,subscription_id,billing_month,invoice_date,amount,tax_rate_pct
36,INV-202404-00003,3,3,2024-04,2024-04-01,82.95,5.0
37,INV-202405-00003,3,3,2024-05,2024-05-02,82.95,5.0
38,INV-202406-00003,3,3,2024-06,2024-06-01,82.95,5.0
39,INV-202407-00003,3,3,2024-07,2024-07-01,82.95,5.0
40,INV-202408-00003,3,3,2024-08,2024-08-02,82.95,5.0
41,INV-202409-00003,3,3,2024-09,2024-09-02,82.95,5.0
42,INV-202410-00003,3,3,2024-10,2024-10-01,82.95,5.0
43,INV-202411-00003,3,3,2024-11,2024-11-03,82.95,5.0
44,INV-202412-00003,3,3,2024-12,2024-12-01,82.95,5.0
45,INV-202403-00004,4,4,2024-03,2024-03-01,9.45,5.0
46,INV-202404-00004,4,4,2024-04,2024-04-01,9.45,5.0
47,INV-202405-00004,4,4,2024-05,2024-05-03,9.45,5.0
48,INV-202406-00004,4,4,2024-06,2024-06-02,9.45,5.0
49,INV-202407-00004,4,4,2024-07,2024-07-02,9.45,5.0
50,INV-202408-00004,4,4,2024-08,2024-08-03,9.45,5.0
51,INV-202409-00004,4,4,2024-09,2024-09-02,9.45,5.0
52,INV-202410-00004,4,4,2024-10,2024-10-01,9.45,5.0
53,INV-202411-00004,4,4,2024-11,,9.45,5.0
54,INV-202412-00004,4,4,2024-12,2024-12-02,9.45,5.0
55,INV-202406-00005,5,5,2024-06,2024-06-02,9.45,5.0
56,INV-202407-00005,5,5,2024-07,2024-07-03,9.45,5.0
57,INV-202408-00005,5,5,2024-08,2024-08-03,9.45,5.0
58,INV-202409-00005,5,5,2024-09,2024-09-02,9.45,5.0
59,INV-202410-00005,5,5,2024-10,2024-10-01,9.45,5.0
60,INV-202411-00005,5,5,2024-11,2024-11-02,9.45,5.0
61,INV-202412-00005,5,5,2024-12,2024-12-01,9.45,5.0
62,INV-202303-00006,6,6,2023-03,2023-03-03,-82.95,5.0
63,INV-202304-00006,6,6,2023-04,2023-04-03,82.95,5.0
64,INV-202305-00006,6,6,2023-05,2023-05-03,82.95,5.0
65,INV-202306-00006,6,6,2023-06,2023-06-02,82.95,5.0
66,INV-202307-00006,6,6,2023-07,2023-07-01,82.95,5.0
67,INV-202308-00006,6,6,2023-08,2023-08-03,82.95,5.0
68,INV-202309-00006,6,6,2023-09,2023-09-03,82.95,5.0
69,INV-202310-00006,6,6,2023-10,2023-10-03,82.95,5.0
70,INV-202311-00006,6,6,2023-11,2023-11-03,82.95,5.0
71,INV-202312-00006,6,6,2023-12,2023-12-02,82.95,5.0
72,INV-202401-00006,6,6,2024-01,2024-01-01,82.95,5.0
73,INV-202402-00006,6,6,2024-02,2024-02-01,82.95,5.0
74,INV-202403-00006,6,6,2024-03,2024-03-02,82.95,5.0
75,INV-202404-00006,6,6,2024-04,2024-04-01,82.95,5.0
76,INV-202405-00006,900006,900006,2024-05,2024-05-03,82.95,5.0
77,INV-202406-00006,6,6,2024-06,2024-06-02,82.95,5.0
78,INV-202407-00006,6,6,2024-07,2024-07-03,82.95,5.0
79,INV-202408-00006,6,6,2024-08,2024-08-02,82.95,5.0
80,INV-202409-00006,6,6,2024-09,2024-09-01,82.95,5.0
81,INV-202410-00006,6,6,2024-10,2024-10-02,82.95,5.0
82,INV-202411-00006,6,6,2024-11,2024-11-03,82.95,5.0
83,INV-202412-00006,6,6,2024-12,2024-12-01,82.95,5.0
84,INV-202303-00007,7,7,2023-03,2023-03-03,9.45,5.0
85,INV-202304-00007,7,7,2023-04,2023-04-01,9.45,5.0
86,INV-202305-00007,7,7,2023-05,2023-05-02,9.45,5.0
87,INV-202306-00007,7,7,2023-06,2023-06-03,9.45,5.0
88,INV-202307-00007,7,7,2023-07,2023-07-03,9.45,5.0
89,INV-202308-00007,7,7,2023-08,2023-08-03,9.45,5.0
90,INV-202309-00007,7,7,2023-09,2023-09-03,9.45,5.0
91,INV-202304-00008,8,8,2023-04,2023-04-02,82.95,5.0
92,INV-202305-00008,8,8,2023-05,2023-05-03,82.95,5.0
93,INV-202306-00008,8,8,2023-06,2023-06-01,82.95,5.0
94,INV-202307-00008,8,8,2023-07,2023-07-02,82.95,5.0
95,INV-202308-00008,8,8,2023-08,2023-08-03,82.95,5.0
96,INV-202309-00008,8,8,2023-09,2023-09-03,82.95,5.0
97,INV-202310-00008,8,8,2023-10,2023-10-02,82.95,5.0
98,INV-202311-00008,8,8,2023-11,2023-11-02,82.95,5.0
99,INV-202312-00008,8,8,2023-12,2023-12-01,82.95,5.0
100,INV-202401-00008,8,8,2024-01,2024-01-01,82.95,5.0
101,INV-202402-00008,8,8,2024-02,2024-02-02,82.95,5.0
102,INV-202403-00008,8,8,2024-03,2024-03-02,82.95,5.0
103,INV-202404-00008,8,8,2024-04,2024-04-03,82.95,5.0
104,INV-202405-00008,8,8,2024-05,2024-05-01,82.95,5.0
105,INV-202406-00008,8,8,2024-06,2024-06-03,82.95,5.0
106,INV-202407-00008,8,8,2024-07,2024-07-01,82.95,5.0
107,INV-202408-00008,8,8,2024-08,2024-08-03,82.95,5.0
108,INV-202409-00008,8,8,2024-09,2024-09-01,82.95,5.0
109,INV-202410-00008,8,8,2024-10,2024-10-03,82.95,5.0
110,INV-202411-00008,8,8,2024-11,2024-11-03,82.95,5.0
111,INV-202412-00008,8,8,2024-12,2024-12-02,82.95,5.0
112,INV-202307-00009,9,9,2023-07,2023-07-01,82.95,5.0
113,INV-202308-00009,9,9,2023-08,2023-08-01,82.95,5.0
114,INV-202309-00009,9,9,2023-09,2023-09-02,82.95,5.0
115,INV-202310-00009,9,9,2023-10,2023-10-01,82.95,5.0
116,INV-202311-00009,9,9,2023-11,2023-11-01,82.95,5.0
117,INV-202312-00009,9,9,2023-12,2023-12-02,82.95,5.0
118,INV-202401-00009,9,9,2024-01,2024-01-02,82.95,5.0
119,INV-202402-00009,9,9,2024-02,2024-02-02,82.95,5.0
120,INV-202403-00009,9,9,2024-03,2024-03-03,82.95,5.0
121,INV-202404-00009,9,9,2024-04,2024-04-02,82.95,5.0
122,INV-202405-00009,9,9,2024-05,2024-05-01,-82.95,5.0
123,INV-202406-00009,9,9,2024-06,2024-06-03,82.95,5.0
124,INV-202307-00010,10,10,2023-07,2023-07-01,30.45,5.0
125,INV-202308-00010,10,10,2023-08,2023-08-02,30.45,5.0
126,INV-202309-00010,10,10,2023-09,2023-09-01,30.45,5.0
127,INV-202310-00010,10,10,2023-10,2023-10-02,30.45,5.0
128,INV-202311-00010,10,10,2023-11,2023-11-01,231.62,5.0
129,INV-202312-00010,10,10,2023-12,2023-12-01,30.45,5.0
130,INV-202401-00010,10,10,2024-01,2024-01-02,30.45,5.0
131,INV-202402-00010,10,10,2024-02,2024-02-01,30.45,5.0
132,INV-202403-00010,10,10,2024-03,2024-03-01,30.45,5.0
133,INV-202404-00010,10,10,2024-04,2024-04-03,30.45,5.0
134,INV-202405-00010,10,10,2024-05,2024-05-03,30.45,5.0
135,INV-202406-00010,10,10,2024-06,2024-06-03,30.45,5.0
136,INV-202407-00010,10,10,2024-07,2024-07-02,30.45,5.0
137,INV-202408-00010,10,10,2024-08,2024-08-03,30.45,5.0
138,INV-202409-00010,10,10,2024-09,2024-09-03,30.45,5.0
139,INV-202410-00010,10,10,2024-10,2024-10-02,30.45,5.0
140,INV-202411-00010,10,10,2024-11,2024-11-01,-30.45,5.0
141,INV-202412-00010,10,10,2024-12,2024-12-01,30.45,5.0
142,INV-202404-00011,11,11,2024-04,2024-04-03,9.45,5.0
143,INV-202405-00011,11,11,2024-05,2024-05-02,9.45,5.0
144,INV-202406-00011,11,11,2024-06,2024-06-03,9.45,5.0
145,INV-202407-00011,11,11,2024-07,2024-07-01,9.45,5.0
146,INV-202408-00011,11,11,2024-08,2024-08-01,9.45,5.0
147,INV-202409-00011,11,11,2024-09,2024-09-03,9.45,5.0
148,INV-202410-00011,11,11,2024-10,2024-10-03,9.45,5.0
149,INV-202411-00011,11,11,2024-11,2024-11-02,9.45,5.0
150,INV-202412-00011,11,11,2024-12,2024-12-01,9.45,5.0
151,INV-202306-00012,12,12,2023-06,2023-06-01,9.45,5.0
152,INV-202307-00012,12,12,2023-07,2023-07-03,9.45,5.0
153,INV-202308-00012,12,12,2023-08,2023-08-02,9.45,5.0
154,INV-202309-00012,12,12,2023-09,2023-09-01,9.45,5.0
155,INV-202310-00012,12,12,2023-10,2023-10-03,9.45,5.0
156,INV-202311-00012,12,12,2023-11,2023-11-01,9.45,5.0
157,INV-202312-00012,12,12,2023-12,2023-12-02,9.45,5.0
158,INV-202401-00012,12,12,2024-01,2024-01-03,9.45,5.0
159,INV-202402-00012,12,12,2024-02,2024-02-03,9.45,5.0
160,INV-202403-00012,12,12,2024-03,2024-03-02,9.45,5.0
161,INV-202404-00012,12,12,2024-04,2024-04-01,9.45,5.0
162,INV-202405-00012,12,12,2024-05,2024-05-01,9.45,5.0
163,INV-202406-00012,12,12,2024-06,2024-06-02,9.45,5.0
164,INV-202407-00012,12,12,2024-07,2024-07-02,9.45,5.0
165,INV-202408-00012,12,12,2024-08,2024-08-01,9.45,5.0
166,INV-202406-00013,13,13,2024-06,2024-06-03,9.45,5.0
167,INV-202407-00013,13,13,2024-07,2024-07-03,9.45,5.0
168,INV-202408-00013,13,13,2024-08,2024-08-01,9.45,5.0
169,INV-202409-00013,13,13,2024-09,2024-09-01,9.45,5.0
170,INV-202410-00013,13,13,2024-10,2024-10-03,9.45,5.0
171,INV-202411-00013,13,13,2024-11,2024-11-01,9.45,5.0
172,INV-202412-00013,13,13,2024-12,2024-12-02,9.45,5.0
173,INV-202404-00014,14,14,2024-04,2024-04-01,30.45,5.0
174,INV-202405-00014,14,14,2024-05,2024-05-03,30.45,-5.0
175,INV-202406-00014,14,14,2024-06,2024-06-01,30.45,5.0
176,INV-202407-00014,14,14,2024-07,2024-07-01,30.45,5.0
177,INV-202408-00014,14,14,2024-08,2024-08-03,30.45,5.0
178,INV-202409-00014,14,14,2024-09,2024-09-01,30.45,5.0
179,INV-202410-00014,14,14,2024-10,2024-10-03,30.45,5.0
180,INV-202411-00014,14,14,2024-11,2024-11-03,30.45,5.0
181,INV-202412-00014,14,14,2024-12,2024-12-03,227.16,5.0
182,INV-202407-00015,15,15,2024-07,2024-07-01,30.45,5.0
183,INV-202408-00015,15,15,2024-08,2024-08-02,30.45,5.0
184,INV-202409-00015,15,15,2024-09,2024-09-02,-30.45,5.0
185,INV-202410-00015,15,15,2024-10,2024-10-02,30.45,5.0
186,INV-202411-00015,15,15,2024-11,2024-11-03,30.45,5.0
187,INV-202412-00015,15,15,2024-12,2024-12-01,30.45,5.0
188,INV-202408-00016,16,16,2024-08,2024-08-02,30.45,5.0
189,INV-202409-00016,16,16,2024-09,2024-09-03,30.45,5.0
190,INV-202410-00016,16,16,2024-10,2024-10-03,30.45,5.0
191,INV-202411-00016,16,16,2024-11,2024-11-03,30.45,5.0
192,INV-202412-00016,16,16,2024-12,2024-12-03,30.45,5.0
193,INV-202302-00017,17,17,2023-02,2023-02-02,208.95,5.0
194,INV-202303-00017,17,17,2023-03,2023-03-03,208.95,5.0
195,INV-202304-00017,17,17,2023-04,2023-04-01,208.95,5.0
196,INV-202305-00017,17,17,2023-05,2023-05-03,208.95,5.0
197,INV-202306-00017,17,17,2023-06,2023-06-03,208.95,5.0
198,INV-202307-00017,17,17,2023-07,2023-07-02,208.95,5.0
199,INV-202308-00017,17,17,2023-08,2023-08-01,208.95,5.0
200,INV-202309-00017,17,17,2023-09,2023-09-02,208.95,5.0
201,INV-202310-00017,17,17,2023-10,2023-10-02,208.95,5.0
202,INV-202311-00017,17,17,2023-11,2023-11-01,208.95,5.0
203,INV-202312-00017,17,17,2023-12,2023-12-01,208.95,5.0
204,INV-202401-00017,17,17,2024-01,2024-01-02,208.95,5.0
205,INV-202402-00017,17,17,2024-02,2024-02-03,208.95,5.0
206,INV-202403-00017,17,17,2024-03,2024-03-01,208.95,5.0
207,INV-202404-00017,17,17,2024-04,2024-04-02,208.95,5.0
208,INV-202405-00017,17,17,2024-05,2024-05-02,208.95,5.0
209,INV-202406-00017,17,17,2024-06,2024-06-01,208.95,5.0
210,INV-202407-00017,17,17,2024-07,2024-07-01,208.95,5.0
211,INV-202408-00017,17,17,2024-08,2024-08-01,208.95,5.0
212,INV-202409-00017,17,17,2024-09,2024-09-01,208.95,5.0
213,INV-202410-00017,17,17,2024-10,2024-10-02,208.95,5.0
214,INV-202411-00017,17,17,2024-11,2024-11-02,208.95,5.0
215,INV-202412-00017,17,17,2024-12,2024-12-03,208.95,5.0
216,INV-202402-00018,18,18,2024-02,2024-02-03,82.95,5.0
217,INV-202403-00018,18,18,2024-03,2024-03-02,82.95,5.0
218,INV-202404-00018,18,18,2024-04,2024-04-02,82.95,5.0
219,INV-202405-00018,18,18,2024-05,2024-05-03,82.95,5.0
220,INV-202406-00018,18,18,2024-06,2024-06-01,82.95,5.0
221,INV-202407-00018,18,18,2024-07,2024-07-02,82.95,5.0
222,INV-202408-00018,18,18,2024-08,2024-08-03,82.95,5.0
223,INV-202409-00018,18,18,2024-09,2024-09-02,82.95,5.0
224,INV-202410-00018,18,18,2024-10,2024-10-02,82.95,5.0
225,INV-202411-00018,18,18,2024-11,2024-11-03,82.95,5.0
226,INV-202412-00018,18,18,2024-12,2024-12-01,82.95,5.0
227,INV-202406-00019,19,19,2024-06,2024-06-01,30.45,5.0
228,INV-202407-00019,19,19,2024-07,2024-07-02,30.45,5.0
229,INV-202408-00019,19,19,2024-08,2024-08-01,30.45,5.0
230,INV-202409-00019,19,19,2024-09,2024-09-03,30.45,5.0
231,INV-202410-00019,19,19,2024-10,2024-10-03,30.45,5.0
232,INV-202411-00019,19,19,2024-11,2024-11-03,30.45,5.0
233,INV-202412-00019,19,19,2024-12,2024-12-02,30.45,5.0
234,INV-202301-00020,20,20,2023-01,2023-01-02,208.95,5.0
235,INV-202302-00020,20,20,2023-02,2023-02-03,208.95,5.0
236,INV-202303-00020,20,20,2023-03,2023-03-03,208.95,5.0
237,INV-202304-00020,20,20,2023-04,2023-04-02,208.95,5.0
238,INV-202305-00020,20,20,2023-05,2023-05-02,208.95,5.0
239,INV-202306-00020,20,20,2023-06,2023-06-02,208.95,5.0
240,INV-202307-00020,20,20,2023-07,2023-07-01,208.95,5.0
241,INV-202308-00020,20,20,2023-08,2023-08-02,208.95,5.0
242,INV-202309-00020,20,20,2023-09,2023-09-01,208.95,5.0
243,INV-202310-00020,20,20,2023-10,2023-10-03,208.95,5.0
244,INV-202311-00020,20,20,2023-11,2023-11-01,208.95,5.0
245,INV-202312-00020,20,20,2023-12,2023-12-01,208.95,5.0
246,INV-202401-00020,20,20,2024-01,2024-01-03,208.95,5.0
247,INV-202402-00020,20,20,2024-02,2024-02-03,208.95,5.0
248,INV-202403-00020,20,20,2024-03,2024-03-02,208.95,5.0
249,INV-202404-00020,20,20,2024-04,2024-04-03,208.95,5.0
250,INV-202405-00020,20,20,2024-05,2024-05-02,208.95,5.0
251,INV-202406-00020,20,20,2024-06,2024-06-01,208.95,5.0
252,INV-202407-00020,20,20,2024-07,2024-07-02,208.95,5.0
253,INV-202408-00020,20,20,2024-08,2024-08-02,208.95,5.0
254,INV-202409-00020,20,20,2024-09,2024-09-01,208.95,5.0
255,INV-202410-00020,20,20,2024-10,2024-10-03,208.95,5.0
256,INV-202411-00020,20,20,2024-11,2024-11-02,208.95,5.0
257,INV-202412-00020,20,20,2024-12,2024-12-02,208.95,5.0
258,INV-202304-00021,21,21,2023-04,2023-04-02,9.45,5.0
259,INV-202305-00021,21,21,2023-05,2023-05-03,9.45,5.0
260,INV-202306-00021,21,21,2023-06,2023-06-03,9.45,5.0
261,INV-202307-00021,21,21,2023-07,2023-07-02,9.45,5.0
262,INV-202308-00021,21,21,2023-08,2023-08-02,9.45,5.0
263,INV-202309-00021,21,21,2023-09,2023-09-02,9.45,5.0
264,INV-202310-00021,21,21,2023-10,2023-10-01,9.45,5.0
265,INV-202311-00021,21,21,2023-11,2023-11-03,9.45,5.0
266,INV-202312-00021,21,21,2023-12,2023-12-01,9.45,5.0
267,INV-202401-00021,21,21,2024-01,2024-01-03,9.45,5.0
268,INV-202402-00021,21,21,2024-02,2024-02-03,9.45,5.0
269,INV-202403-00021,21,21,2024-03,2024-03-01,9.45,5.0
270,INV-202404-00021,21,21,2024-04,2024-04-03,9.45,5.0
271,INV-202405-00021,21,21,2024-05,2024-05-02,9.45,5.0
272,INV-202406-00021,21,21,2024-06,2024-06-02,9.45,5.0
273,INV-202407-00021,21,21,2024-07,2024-07-03,9.45,5.0
274,INV-202408-00021,21,21,2024-08,2024-08-03,9.45,5.0
275,INV-202409-00021,21,21,2024-09,2024-09-03,9.45,5.0
276,INV-202410-00021,21,21,2024-10,2024-10-01,9.45,5.0
277,INV-202411-00021,21,21,2024-11,2024-11-02,9.45,5.0
278,INV-202412-00021,21,21,2024-12,2024-12-01,9.45,5.0
279,INV-202306-00022,22,22,2023-06,2023-06-03,9.45,-5.0
280,INV-202307-00022,22,22,2023-07,2023-07-01,9.45,5.0
281,INV-202308-00022,22,22,2023-08,2023-08-01,9.45,5.0
282,INV-202309-00022,22,22,2023-09,2023-09-01,9.45,5.0
283,INV-202310-00022,22,22,2023-10,2023-10-02,9.45,5.0
284,INV-202311-00022,22,22,2023-11,2023-11-01,9.45,5.0
285,INV-202312-00022,22,22,2023-12,2023-12-01,9.45,5.0
286,INV-202305-00023,23,23,2023-05,2023-05-01,30.45,5.0
287,INV-202306-00023,23,23,2023-06,2023-06-01,30.45,5.0
288,INV-202307-00023,23,23,2023-07,2023-07-01,30.45,5.0
289,INV-202308-00023,23,23,2023-08,2023-08-01,30.45,5.0
290,INV-202309-00023,23,23,2023-09,2023-09-01,30.45,5.0
291,INV-202310-00023,23,23,2023-10,2023-10-02,30.45,5.0
292,INV-202311-00023,23,23,2023-11,2023-11-01,30.45,5.0
293,INV-202312-00023,23,23,2023-12,2023-12-02,30.45,5.0
294,INV-202401-00023,23,23,2024-01,2024-01-01,30.45,5.0
295,INV-202402-00023,23,23,2024-02,2024-02-01,30.45,5.0
296,INV-202403-00023,23,23,2024-03,2024-03-03,30.45,5.0
297,INV-202404-00023,23,23,2024-04,2024-04-02,30.45,5.0
298,INV-202405-00023,23,23,2024-05,2024-05-03,30.45,5.0
299,INV-202406-00023,23,23,2024-06,2024-06-01,30.45,5.0
300,INV-202407-00023,23,23,2024-07,2024-07-02,30.45,5.0
301,INV-202408-00023,23,23,2024-08,2024-08-01,30.45,5.0
302,INV-202409-00023,23,23,2024-09,2024-09-03,30.45,5.0
303,INV-202410-00023,23,23,2024-10,2024-10-02,30.45,5.0
304,INV-202411-00023,23,23,2024-11,2024-11-01,30.45,5.0
305,INV-202412-00023,23,23,2024-12,2024-12-01,30.45,5.0
306,INV-202405-00024,24,24,2024-05,2024-05-03,9.45,5.0
307,INV-202406-00024,24,24,2024-06,2024-06-01,9.45,5.0
308,INV-202407-00024,24,24,2024-07,2024-07-02,9.45,5.0
309,INV-202408-00024,24,24,2024-08,2024-08-02,9.45,5.0
310,INV-202409-00024,24,24,2024-09,2024-09-01,9.45,5.0
311,INV-202410-00024,24,24,2024-10,2024-10-02,9.45,5.0
312,INV-202411-00024,24,24,2024-11,2024-11-01,9.45,5.0
313,INV-202412-00024,24,24,2024-12,2024-12-01,9.45,5.0
314,INV-202303-00025,25,25,2023-03,2023-03-03,9.45,5.0
315,INV-202304-00025,25,25,2023-04,2023-04-02,9.45,5.0
316,INV-202305-00025,25,25,2023-05,2023-05-01,9.45,5.0
317,INV-202306-00025,25,25,2023-06,2023-06-03,9.45,5.0
318,INV-202307-00025,25,25,2023-07,2023-07-01,9.45,5.0
319,INV-202308-00025,25,25,2023-08,2023-08-01,-9.45,5.0
320,INV-202309-00025,25,25,2023-09,2023-09-01,9.45,5.0
321,INV-202310-00025,25,25,2023-10,2023-10-03,9.45,5.0
322,INV-202311-00025,25,25,2023-11,2023-11-03,9.45,5.0
323,INV-202312-00025,25,25,2023-12,2023-12-02,9.45,5.0
324,INV-202401-00025,25,25,2024-01,2024-01-02,9.45,5.0
325,INV-202402-00025,25,25,2024-02,2024-02-03,9.45,5.0
326,INV-202403-00025,25,25,2024-03,2024-03-01,9.45,5.0
327,INV-202404-00025,25,25,2024-04,2024-04-01,9.45,5.0
328,INV-202405-00025,25,25,2024-05,2024-05-02,9.45,5.0
329,INV-202406-00025,25,25,2024-06,2024-06-03,9.45,5.0
330,INV-202407-00025,25,25,2024-07,2024-07-03,9.45,5.0
331,INV-202408-00025,25,25,2024-08,2024-08-01,9.45,5.0
332,INV-202409-00025,25,25,2024-09,2024-09-02,9.45,5.0
333,INV-202410-00025,25,25,2024-10,2024-10-02,9.45,5.0
334,INV-202411-00025,25,25,2024-11,2024-11-02,9.45,5.0
335,INV-202412-00025,25,25,2024-12,2024-12-01,9.45,5.0
336,INV-202407-00026,26,26,2024-07,2024-07-02,30.45,5.0
337,INV-202408-00026,26,26,2024-08,2024-08-02,-30.45,5.0
338,INV-202409-00026,26,26,2024-09,2024-09-01,30.45,5.0
339,INV-202410-00026,26,26,2024-10,2024-10-02,30.45,5.0
340,INV-202411-00026,26,26,2024-11,2024-11-01,30.45,5.0
341,INV-202412-00026,26,26,2024-12,2024-12-03,30.45,5.0
342,INV-202308-00027,27,27,2023-08,2023-08-03,30.45,5.0
343,INV-202309-00027,27,27,2023-09,2023-09-03,30.45,5.0
344,INV-202310-00027,27,27,2023-10,2023-10-03,30.45,5.0
345,INV-202311-00027,27,27,2023-11,2023-11-02,30.45,5.0
346,INV-202312-00027,27,27,2023-12,2023-12-02,30.45,5.0
347,INV-202401-00027,27,27,2024-01,2024-01-02,,5.0
348,INV-202402-00027,27,27,2024-02,2024-02-01,30.45,5.0
349,INV-202403-00027,27,27,2024-03,2024-03-02,30.45,5.0
350,INV-202404-00027,27,27,2024-04,2024-04-01,30.45,5.0
351,INV-202405-00027,27,27,2024-05,2024-05-02,30.45,5.0
352,INV-202406-00027,27,27,2024-06,2024-06-03,30.45,5.0
353,INV-202407-00027,27,27,2024-07,2024-07-03,30.45,5.0
354,INV-202312-00028,28,28,2023-12,2023-12-03,82.95,5.0
355,INV-202401-00028,28,28,2024-01,2024-01-01,82.95,5.0
356,INV-202402-00028,28,28,2024-02,2024-02-01,82.95,5.0
357,INV-202403-00028,28,28,2024-03,2024-03-02,82.95,5.0
358,INV-202404-00028,28,28,2024-04,2024-04-03,82.95,5.0
359,INV-202405-00028,28,28,2024-05,2024-05-02,82.95,5.0
360,INV-202406-00028,28,28,2024-06,2024-06-01,82.95,5.0
361,INV-202407-00028,28,28,2024-07,2024-07-02,82.95,5.0
362,INV-202408-00028,28,28,2024-08,2024-08-03,82.95,5.0
363,INV-202309-00029,29,29,2023-09,2023-09-01,30.45,5.0
364,INV-202310-00029,29,29,2023-10,2023-10-01,30.45,5.0
365,INV-202311-00029,29,29,2023-11,2023-11-01,30.45,5.0
366,INV-202312-00029,29,29,2023-12,2024-02-11,30.45,5.0
367,INV-202401-00029,29,29,2024-01,2024-01-02,30.45,5.0
368,INV-202402-00029,29,29,2024-02,2024-02-01,30.45,5.0
369,INV-202403-00029,29,29,2024-03,2024-03-01,30.45,5.0
370,INV-202404-00029,29,29,2024-04,2024-04-03,30.45,5.0
371,INV-202405-00029,29,29,2024-05,2024-05-01,30.45,5.0
372,INV-202406-00029,29,29,2024-06,2024-06-01,30.45,5.0
373,INV-202407-00029,29,29,2024-07,2024-07-03,30.45,5.0
374,INV-202408-00029,29,29,2024-08,2024-08-03,30.45,5.0
375,INV-202409-00029,29,29,2024-09,2024-09-03,30.45,5.0
376,INV-202410-00029,29,29,2024-10,2024-10-01,30.45,5.0
377,INV-202411-00029,29,29,2024-11,2024-11-02,30.45,5.0
378,INV-202412-00029,29,29,2024-12,2024-12-03,30.45,5.0
379,INV-202307-00030,30,30,2023-07,2023-07-01,30.45,5.0
380,INV-202308-00030,30,30,2023-08,2023-08-01,30.45,5.0
381,INV-202309-00030,30,30,2023-09,2023-09-03,30.45,5.0
382,INV-202310-00030,30,30,2023-10,2023-10-02,30.45,5.0
383,INV-202311-00030,30,30,2023-11,2023-11-03,30.45,5.0
384,INV-202312-00030,30,30,2023-12,2023-12-02,30.45,5.0
385,INV-202401-00030,30,30,2024-01,2024-01-03,30.45,5.0
386,INV-202402-00030,30,30,2024-02,2024-02-01,30.45,5.0
387,INV-202403-00030,30,30,2024-03,2024-03-03,30.45,5.0
388,INV-202404-00030,30,30,2024-04,2024-04-02,30.45,5.0
389,INV-202405-00030,30,30,2024-05,2024-05-02,30.45,5.0
390,INV-202406-00030,30,30,2024-06,2024-06-01,30.45,5.0
391,INV-202407-00030,30,30,2024-07,2024-07-01,30.45,5.0
392,INV-202408-00030,30,30,2024-08,2024-08-02,30.45,5.0
393,INV-202409-00030,30,30,2024-09,2024-09-03,30.45,5.0
394,INV-202410-00030,30,30,2024-10,2024-10-01,30.45,5.0
395,INV-202411-00030,30,30,2024-11,2024-11-01,30.45,5.0
396,INV-202412-00030,30,30,2024-12,2024-12-03,30.45,5.0
397,INV-202406-00031,31,31,2024-06,2024-06-03,30.45,5.0
